woonplaats;gemeente;provincie;regio
Alteveer;Noordenveld;Drenthe;Noord-Nederland
Alteveer;Stadskanaal;Groningen;Noord-Nederland
Alteveer;DeWolden;Drenthe;Noord-Nederland
Alteveer gem Hoogeveen;Hoogeveen;Drenthe;Noord-Nederland
Altforst;WestMaasenWaal;Gelderland;Oost-Nederland
Ambt Delden;HofvanTwente;Overijssel;Oost-Nederland
Ameide;Vijfheerenlanden;Utrecht;West-Nederland
Amen;AaenHunze;Drenthe;Noord-Nederland
America;HorstaandeMaas;Limburg;Zuid-Nederland
Amerongen;UtrechtseHeuvelrug;Utrecht;West-Nederland
Amersfoort;Amersfoort;Utrecht;West-Nederland
Ammerstol;Krimpenerwaard;Zuid-Holland;West-Nederland
Ammerzoden;Maasdriel;Gelderland;Oost-Nederland
Amstelhoek;DeRondeVenen;Utrecht;West-Nederland
Amstelveen;Amstelveen;Noord-Holland;West-Nederland
Amstenrade;Beekdaelen;Limburg;Zuid-Nederland
Amsterdam;Amsterdam;Noord-Holland;West-Nederland
Amsterdam-Duivendrecht;Ouder-Amstel;Noord-Holland;West-Nederland
Andel;Altena;Noord-Brabant;Zuid-Nederland
Den Andel;HetHogeland;Groningen;Noord-Nederland
Andelst;Overbetuwe;Gelderland;Oost-Nederland
Anderen;AaenHunze;Drenthe;Noord-Nederland
Andijk;Medemblik;Noord-Holland;West-Nederland
Ane;Hardenberg;Overijssel;Oost-Nederland
Anerveen;Hardenberg;Overijssel;Oost-Nederland
Anevelde;Hardenberg;Overijssel;Oost-Nederland
Angeren;Lingewaard;Gelderland;Oost-Nederland
Angerlo;Zevenaar;Gelderland;Oost-Nederland
Anjum;Noardeast-Fryslân;Fryslân;Noord-Nederland
Ankeveen;Wijdemeren;Noord-Holland;West-Nederland
Anloo;AaenHunze;Drenthe;Noord-Nederland
Anna Paulowna;HollandsKroon;Noord-Holland;West-Nederland
Annen;AaenHunze;Drenthe;Noord-Nederland
Annerveenschekanaal;AaenHunze;Drenthe;Noord-Nederland
Ansen;Westerveld;Drenthe;Noord-Nederland
Ansen;DeWolden;Drenthe;Noord-Nederland
Ter Apel;Westerwolde;Groningen;Noord-Nederland
Apeldoorn;Apeldoorn;Gelderland;Oost-Nederland
Ter Apelkanaal;Westerwolde;Groningen;Noord-Nederland
Appelscha;Ooststellingwerf;Fryslân;Noord-Nederland
Appeltern;WestMaasenWaal;Gelderland;Oost-Nederland
Appingedam;Appingedam;Groningen;Noord-Nederland
Arcen;Venlo;Limburg;Zuid-Nederland
Arkel;Molenlanden;Zuid-Holland;West-Nederland
Arnemuiden;Middelburg;Zeeland;West-Nederland
Arnhem;Arnhem;Gelderland;Oost-Nederland
Arriën;Ommen;Overijssel;Oost-Nederland
Arum;Súdwest-Fryslân;Fryslân;Noord-Nederland
Asch;Buren;Gelderland;Oost-Nederland
Asperen;WestBetuwe;Gelderland;Oost-Nederland
Assen;Assen;Drenthe;Noord-Nederland
Assendelft;Zaanstad;Noord-Holland;West-Nederland
Asten;Asten;Noord-Brabant;Zuid-Nederland
Augsbuurt;Noardeast-Fryslân;Fryslân;Noord-Nederland
Augustinusga;Achtkarspelen;Fryslân;Noord-Nederland
Austerlitz;Zeist;Utrecht;West-Nederland
Avenhorn;Koggenland;Noord-Holland;West-Nederland
Axel;Terneuzen;Zeeland;West-Nederland
Azewijn;Montferland;Gelderland;Oost-Nederland
Baaiduinen;Terschelling;Fryslân;Noord-Nederland
Baaium;Waadhoeke;Fryslân;Noord-Nederland
Baak;Bronckhorst;Gelderland;Oost-Nederland
Baambrugge;DeRondeVenen;Utrecht;West-Nederland
Baard;Leeuwarden;Fryslân;Noord-Nederland
Baarland;Borsele;Zeeland;West-Nederland
Baarle-Nassau;Baarle-Nassau;Noord-Brabant;Zuid-Nederland
Baarlo;PeelenMaas;Limburg;Zuid-Nederland
Baarlo;Steenwijkerland;Overijssel;Oost-Nederland
Baarn;Baarn;Utrecht;West-Nederland
Baars;Steenwijkerland;Overijssel;Oost-Nederland
Babberich;Zevenaar;Gelderland;Oost-Nederland
Babyloniënbroek;Altena;Noord-Brabant;Zuid-Nederland
Bad Nieuweschans;Oldambt;Groningen;Noord-Nederland
Badhoevedorp;Haarlemmermeer;Noord-Holland;West-Nederland
Baexem;Leudal;Limburg;Zuid-Nederland
Baflo;HetHogeland;Groningen;Noord-Nederland
Bakel;Gemert-Bakel;Noord-Brabant;Zuid-Nederland
Bakhuizen;DeFryskeMarren;Fryslân;Noord-Nederland
Bakkeveen;Opsterland;Fryslân;Noord-Nederland
Balgoij;Wijchen;Gelderland;Oost-Nederland
Balinge;Midden-Drenthe;Drenthe;Noord-Nederland
Balk;DeFryskeMarren;Fryslân;Noord-Nederland
Balkbrug;Hardenberg;Overijssel;Oost-Nederland
Balloërveld;AaenHunze;Drenthe;Noord-Nederland
Balloo;AaenHunze;Drenthe;Noord-Nederland
Ballum;Ameland;Fryslân;Noord-Nederland
Baneheide;Simpelveld;Limburg;Zuid-Nederland
Banholt;Eijsden-Margraten;Limburg;Zuid-Nederland
Bant;Noordoostpolder;Flevoland;Oost-Nederland
Bantega;DeFryskeMarren;Fryslân;Noord-Nederland
Barchem;Lochem;Gelderland;Oost-Nederland
Barendrecht;Barendrecht;Zuid-Holland;West-Nederland
Barger-Compascuum;Emmen;Drenthe;Noord-Nederland
Barneveld;Barneveld;Gelderland;Oost-Nederland
Barsingerhorn;HollandsKroon;Noord-Holland;West-Nederland
Basse;Steenwijkerland;Overijssel;Oost-Nederland
Batenburg;Wijchen;Gelderland;Oost-Nederland
Bathmen;Deventer;Overijssel;Oost-Nederland
Bavel;Breda;Noord-Brabant;Zuid-Nederland
Bavel AC;Alphen-Chaam;Noord-Brabant;Zuid-Nederland
Bears;Leeuwarden;Fryslân;Noord-Nederland
Bedum;HetHogeland;Groningen;Noord-Nederland
Beegden;Maasgouw;Limburg;Zuid-Nederland
Beek;Montferland;Gelderland;Oost-Nederland
Beek;Beek;Limburg;Zuid-Nederland
Beek;BergenDal;Gelderland;Oost-Nederland
Beek en Donk;Laarbeek;Noord-Brabant;Zuid-Nederland
Beekbergen;Apeldoorn;Gelderland;Oost-Nederland
Beemte Broekland;Apeldoorn;Gelderland;Oost-Nederland
Beers NB;Cuijk;Noord-Brabant;Zuid-Nederland
Beerta;Oldambt;Groningen;Noord-Nederland
Beerze;Ommen;Overijssel;Oost-Nederland
Beerzerveld;Ommen;Overijssel;Oost-Nederland
Beesd;WestBetuwe;Gelderland;Oost-Nederland
Beesel;Beesel;Limburg;Zuid-Nederland
Beets;Edam-Volendam;Noord-Holland;West-Nederland
Beetsterzwaag;Opsterland;Fryslân;Noord-Nederland
Beilen;Midden-Drenthe;Drenthe;Noord-Nederland
Beinsdorp;Haarlemmermeer;Noord-Holland;West-Nederland
Belfeld;Venlo;Limburg;Zuid-Nederland
Bellingwolde;Westerwolde;Groningen;Noord-Nederland
Beltrum;Berkelland;Gelderland;Oost-Nederland
Belt-Schutsloot;Steenwijkerland;Overijssel;Oost-Nederland
Bemelen;Eijsden-Margraten;Limburg;Zuid-Nederland
Bemmel;Lingewaard;Gelderland;Oost-Nederland
Beneden-Leeuwen;WestMaasenWaal;Gelderland;Oost-Nederland
Bennebroek;Bloemendaal;Noord-Holland;West-Nederland
Bennekom;Ede;Gelderland;Oost-Nederland
Benneveld;Coevorden;Drenthe;Noord-Nederland
Benningbroek;Medemblik;Noord-Holland;West-Nederland
Benschop;Lopik;Utrecht;West-Nederland
Bentelo;HofvanTwente;Overijssel;Oost-Nederland
Benthuizen;AlphenaandenRijn;Zuid-Holland;West-Nederland
Bentveld;Zandvoort;Noord-Holland;West-Nederland
Berg en Dal;BergenDal;Gelderland;Oost-Nederland
Berg en Terblijt;ValkenburgaandeGeul;Limburg;Zuid-Nederland
Bergambacht;Krimpenerwaard;Zuid-Holland;West-Nederland
Bergeijk;Bergeijk;Noord-Brabant;Zuid-Nederland
Bergen (NH);Bergen(NH.);Noord-Holland;West-Nederland
Bergen aan Zee;Bergen(NH.);Noord-Holland;West-Nederland
Bergen L;Bergen(L.);Limburg;Zuid-Nederland
Bergen op Zoom;BergenopZoom;Noord-Brabant;Zuid-Nederland
Bergentheim;Hardenberg;Overijssel;Oost-Nederland
Bergharen;Wijchen;Gelderland;Oost-Nederland
Berghem;Oss;Noord-Brabant;Zuid-Nederland
Bergschenhoek;Lansingerland;Zuid-Holland;West-Nederland
Beringe;PeelenMaas;Limburg;Zuid-Nederland
Berkel en Rodenrijs;Lansingerland;Zuid-Holland;West-Nederland
Berkel-Enschot;Tilburg;Noord-Brabant;Zuid-Nederland
Berkenwoude;Krimpenerwaard;Zuid-Holland;West-Nederland
Berkhout;Koggenland;Noord-Holland;West-Nederland
Berlicum;Sint-Michielsgestel;Noord-Brabant;Zuid-Nederland
Berltsum;Waadhoeke;Fryslân;Noord-Nederland
Bern;Zaltbommel;Gelderland;Oost-Nederland
Best;Best;Noord-Brabant;Zuid-Nederland
Beugen;Boxmeer;Noord-Brabant;Zuid-Nederland
Beuningen;Losser;Overijssel;Oost-Nederland
Beuningen Gld;Beuningen;Gelderland;Oost-Nederland
Beusichem;Buren;Gelderland;Oost-Nederland
Beutenaken;Gulpen-Wittem;Limburg;Zuid-Nederland
Beverwijk;Beverwijk;Noord-Holland;West-Nederland
Biddinghuizen;Dronten;Flevoland;Oost-Nederland
Bierum;Delfzijl;Groningen;Noord-Nederland
Biervliet;Sluis;Zeeland;West-Nederland
Biervliet;Terneuzen;Zeeland;West-Nederland
Biest-Houtakker;Hilvarenbeek;Noord-Brabant;Zuid-Nederland
Biezenmortel;Haaren;Noord-Brabant;Zuid-Nederland
Biggekerke;Veere;Zeeland;West-Nederland
De Bilt;DeBilt;Utrecht;West-Nederland
Bilthoven;DeBilt;Utrecht;West-Nederland
Bingelrade;Beekdaelen;Limburg;Zuid-Nederland
Bitgum;Waadhoeke;Fryslân;Noord-Nederland
Bitgummole;Waadhoeke;Fryslân;Noord-Nederland
Bladel;Bladel;Noord-Brabant;Zuid-Nederland
Blankenham;Steenwijkerland;Overijssel;Oost-Nederland
Blaricum;Blaricum;Noord-Holland;West-Nederland
Blauwestad;Oldambt;Groningen;Noord-Nederland
Blauwhuis;Súdwest-Fryslân;Fryslân;Noord-Nederland
Bleiswijk;Lansingerland;Zuid-Holland;West-Nederland
Blesdijke;Weststellingwerf;Fryslân;Noord-Nederland
Bleskensgraaf ca;Molenlanden;Zuid-Holland;West-Nederland
De Blesse;Weststellingwerf;Fryslân;Noord-Nederland
Blessum;Waadhoeke;Fryslân;Noord-Nederland
Blije;Noardeast-Fryslân;Fryslân;Noord-Nederland
Blijham;Westerwolde;Groningen;Noord-Nederland
Blitterswijck;Venray;Limburg;Zuid-Nederland
Bloemendaal;Bloemendaal;Noord-Holland;West-Nederland
Blokker;Hoorn;Noord-Holland;West-Nederland
Blokzijl;Steenwijkerland;Overijssel;Oost-Nederland
Boazum;Súdwest-Fryslân;Fryslân;Noord-Nederland
Bocholtz;Simpelveld;Limburg;Zuid-Nederland
Bodegraven;Bodegraven-Reeuwijk;Zuid-Holland;West-Nederland
Boekel;Boekel;Noord-Brabant;Zuid-Nederland
Boelenslaan;Achtkarspelen;Fryslân;Noord-Nederland
Boer;Waadhoeke;Fryslân;Noord-Nederland
Ten Boer;Groningen;Groningen;Noord-Nederland
Boerakker;Westerkwartier;Groningen;Noord-Nederland
Boesingheliede;Haarlemmermeer;Noord-Holland;West-Nederland
Boijl;Weststellingwerf;Fryslân;Noord-Nederland
Boksum;Waadhoeke;Fryslân;Noord-Nederland
Bolsward;Súdwest-Fryslân;Fryslân;Noord-Nederland
Den Bommel;Goeree-Overflakkee;Zuid-Holland;West-Nederland
Bontebok;Heerenveen;Fryslân;Noord-Nederland
Boornbergum;Smallingerland;Fryslân;Noord-Nederland
Boornzwaag;DeFryskeMarren;Fryslân;Noord-Nederland
Borculo;Berkelland;Gelderland;Oost-Nederland
Borger;Borger-Odoorn;Drenthe;Noord-Nederland
Borgercompagnie;Midden-Groningen;Groningen;Noord-Nederland
Borgercompagnie;Veendam;Groningen;Noord-Nederland
Borgsweer;Delfzijl;Groningen;Noord-Nederland
Born;Sittard-Geleen;Limburg;Zuid-Nederland
Borne;Borne;Overijssel;Oost-Nederland
Bornerbroek;Almelo;Overijssel;Oost-Nederland
Bornwird;Noardeast-Fryslân;Fryslân;Noord-Nederland
Borssele;Borsele;Zeeland;West-Nederland
Bosch en Duin;Zeist;Utrecht;West-Nederland
Boschoord;Westerveld;Drenthe;Noord-Nederland
Boskoop;AlphenaandenRijn;Zuid-Holland;West-Nederland
Bosschenhoofd;Halderberge;Noord-Brabant;Zuid-Nederland
Botlek Rotterdam;Rotterdam;Zuid-Holland;West-Nederland
Bourtange;Westerwolde;Groningen;Noord-Nederland
Bovenkarspel;StedeBroec;Noord-Holland;West-Nederland
Boven-Leeuwen;WestMaasenWaal;Gelderland;Oost-Nederland
Bovensmilde;Midden-Drenthe;Drenthe;Noord-Nederland
Boxmeer;Boxmeer;Noord-Brabant;Zuid-Nederland
Boxtel;Boxtel;Noord-Brabant;Zuid-Nederland
Braamt;Montferland;Gelderland;Oost-Nederland
Brakel;Zaltbommel;Gelderland;Oost-Nederland
Brandwijk;Molenlanden;Zuid-Holland;West-Nederland
Brantgum;Noardeast-Fryslân;Fryslân;Noord-Nederland
Breda;Breda;Noord-Brabant;Zuid-Nederland
Bredevoort;Aalten;Gelderland;Oost-Nederland
Breedenbroek;OudeIJsselstreek;Gelderland;Oost-Nederland
Breezand;HollandsKroon;Noord-Holland;West-Nederland
Breezanddijk;Súdwest-Fryslân;Fryslân;Noord-Nederland
Breskens;Sluis;Zeeland;West-Nederland
Breukelen;StichtseVecht;Utrecht;West-Nederland
Breukeleveen;Wijdemeren;Noord-Holland;West-Nederland
Brielle;Brielle;Zuid-Holland;West-Nederland
Briltil;Westerkwartier;Groningen;Noord-Nederland
Britsum;Leeuwarden;Fryslân;Noord-Nederland
Britswert;Súdwest-Fryslân;Fryslân;Noord-Nederland
Broek;DeFryskeMarren;Fryslân;Noord-Nederland
Broek in Waterland;Waterland;Noord-Holland;West-Nederland
Broek op Langedijk;Langedijk;Noord-Holland;West-Nederland
Broekhuizen;HorstaandeMaas;Limburg;Zuid-Nederland
Broekhuizen;Meppel;Drenthe;Noord-Nederland
Broekhuizenvorst;HorstaandeMaas;Limburg;Zuid-Nederland
Broekland;Raalte;Overijssel;Oost-Nederland
Broeksterwâld;Dantumadiel;Fryslân;Noord-Nederland
Bronkhorst;Bronckhorst;Gelderland;Oost-Nederland
Bronneger;Borger-Odoorn;Drenthe;Noord-Nederland
Bronnegerveen;Borger-Odoorn;Drenthe;Noord-Nederland
Brouwershaven;Schouwen-Duiveland;Zeeland;West-Nederland
Bruchem;Zaltbommel;Gelderland;Oost-Nederland
Brucht;Hardenberg;Overijssel;Oost-Nederland
Bruchterveld;Hardenberg;Overijssel;Oost-Nederland
Bruinehaar;Twenterand;Overijssel;Oost-Nederland
Bruinisse;Schouwen-Duiveland;Zeeland;West-Nederland
Brummen;Brummen;Gelderland;Oost-Nederland
Brunssum;Brunssum;Limburg;Zuid-Nederland
Bruntinge;Midden-Drenthe;Drenthe;Noord-Nederland
Buchten;Sittard-Geleen;Limburg;Zuid-Nederland
Budel;Cranendonck;Noord-Brabant;Zuid-Nederland
Budel-Dorplein;Cranendonck;Noord-Brabant;Zuid-Nederland
Budel-Schoot;Cranendonck;Noord-Brabant;Zuid-Nederland
Buggenum;Leudal;Limburg;Zuid-Nederland
Buinen;Borger-Odoorn;Drenthe;Noord-Nederland
Buinerveen;Borger-Odoorn;Drenthe;Noord-Nederland
Buitenkaag;Haarlemmermeer;Noord-Holland;West-Nederland
Buitenpost;Achtkarspelen;Fryslân;Noord-Nederland
De Bult;Steenwijkerland;Overijssel;Oost-Nederland
Bunde;Meerssen;Limburg;Zuid-Nederland
Bunne;Tynaarlo;Drenthe;Noord-Nederland
Bunnik;Bunnik;Utrecht;West-Nederland
Bunschoten-Spakenburg;Bunschoten;Utrecht;West-Nederland
Burdaard;Noardeast-Fryslân;Fryslân;Noord-Nederland
Buren;Ameland;Fryslân;Noord-Nederland
Buren;Buren;Gelderland;Oost-Nederland
Den Burg;Texel;Noord-Holland;West-Nederland
Burgerbrug;Schagen;Noord-Holland;West-Nederland
Burgerveen;Haarlemmermeer;Noord-Holland;West-Nederland
Burgh-Haamstede;Schouwen-Duiveland;Zeeland;West-Nederland
Burgum;Tytsjerksteradiel;Fryslân;Noord-Nederland
Burgwerd;Súdwest-Fryslân;Fryslân;Noord-Nederland
Burum;Noardeast-Fryslân;Fryslân;Noord-Nederland
Bussum;GooiseMeren;Noord-Holland;West-Nederland
Buurmalsen;WestBetuwe;Gelderland;Oost-Nederland
Buurmalsen;Buren;Gelderland;Oost-Nederland
Cadier en Keer;Eijsden-Margraten;Limburg;Zuid-Nederland
Cadzand;Sluis;Zeeland;West-Nederland
Callantsoog;Schagen;Noord-Holland;West-Nederland
Capelle aan den IJssel;CapelleaandenIJssel;Zuid-Holland;West-Nederland
Castelre;Baarle-Nassau;Noord-Brabant;Zuid-Nederland
Castenray;Venray;Limburg;Zuid-Nederland
Casteren;Bladel;Noord-Brabant;Zuid-Nederland
Castricum;Castricum;Noord-Holland;West-Nederland
Chaam;Alphen-Chaam;Noord-Brabant;Zuid-Nederland
Clinge;Hulst;Zeeland;West-Nederland
De Cocksdorp;Texel;Noord-Holland;West-Nederland
Coevorden;Coevorden;Drenthe;Noord-Nederland
Colijnsplaat;Noord-Beveland;Zeeland;West-Nederland
Collendoorn;Hardenberg;Overijssel;Oost-Nederland
Colmschate;Deventer;Overijssel;Oost-Nederland
Cornwerd;Súdwest-Fryslân;Fryslân;Noord-Nederland
Cothen;WijkbijDuurstede;Utrecht;West-Nederland
Creil;Noordoostpolder;Flevoland;Oost-Nederland
Cromvoirt;Vught;Noord-Brabant;Zuid-Nederland
Cruquius;Haarlemmermeer;Noord-Holland;West-Nederland
Cuijk;Cuijk;Noord-Brabant;Zuid-Nederland
Culemborg;Culemborg;Gelderland;Oost-Nederland
Daarle;Hellendoorn;Overijssel;Oost-Nederland
Daarlerveen;Hellendoorn;Overijssel;Oost-Nederland
Dalem;Gorinchem;Zuid-Holland;West-Nederland
Dalen;Coevorden;Drenthe;Noord-Nederland
Dalerpeel;Coevorden;Drenthe;Noord-Nederland
Dalerveen;Coevorden;Drenthe;Noord-Nederland
Dalfsen;Dalfsen;Overijssel;Oost-Nederland
Dalmsholte;Ommen;Overijssel;Oost-Nederland
Damwâld;Dantumadiel;Fryslân;Noord-Nederland
Darp;Westerveld;Drenthe;Noord-Nederland
Dearsum;Súdwest-Fryslân;Fryslân;Noord-Nederland
Dedemsvaart;Hardenberg;Overijssel;Oost-Nederland
Dedgum;Súdwest-Fryslân;Fryslân;Noord-Nederland
Deelen;Ede;Gelderland;Oost-Nederland
Deest;Druten;Gelderland;Oost-Nederland
Deil;WestBetuwe;Gelderland;Oost-Nederland
Deinum;Waadhoeke;Fryslân;Noord-Nederland
Delden;HofvanTwente;Overijssel;Oost-Nederland
Delfgauw;Pijnacker-Nootdorp;Zuid-Holland;West-Nederland
Delfstrahuizen;DeFryskeMarren;Fryslân;Noord-Nederland
Delft;Delft;Zuid-Holland;West-Nederland
Delfzijl;Delfzijl;Groningen;Noord-Nederland
Delwijnen;Zaltbommel;Gelderland;Oost-Nederland
Demen;Oss;Noord-Brabant;Zuid-Nederland
Denekamp;Dinkelland;Overijssel;Oost-Nederland
Deurne;Deurne;Noord-Brabant;Zuid-Nederland
Deurningen;Dinkelland;Overijssel;Oost-Nederland
Deurningen;Oldenzaal;Overijssel;Oost-Nederland
Deursen-Dennenburg;Oss;Noord-Brabant;Zuid-Nederland
Deurze;AaenHunze;Drenthe;Noord-Nederland
Deventer;Deventer;Overijssel;Oost-Nederland
Didam;Montferland;Gelderland;Oost-Nederland
Dieden;Oss;Noord-Brabant;Zuid-Nederland
Diemen;Diemen;Noord-Holland;West-Nederland
Diepenheim;HofvanTwente;Overijssel;Oost-Nederland
Diepenveen;Deventer;Overijssel;Oost-Nederland
Dieren;Rheden;Gelderland;Oost-Nederland
Diessen;Hilvarenbeek;Noord-Brabant;Zuid-Nederland
Diever;Westerveld;Drenthe;Noord-Nederland
Dieverbrug;Westerveld;Drenthe;Noord-Nederland
Diffelen;Hardenberg;Overijssel;Oost-Nederland
Dijken;DeFryskeMarren;Fryslân;Noord-Nederland
Dinteloord;Steenbergen;Noord-Brabant;Zuid-Nederland
Dinxperlo;Aalten;Gelderland;Oost-Nederland
Diphoorn;Coevorden;Drenthe;Noord-Nederland
Dirkshorn;Schagen;Noord-Holland;West-Nederland
Dirksland;Goeree-Overflakkee;Zuid-Holland;West-Nederland
Dodewaard;Neder-Betuwe;Gelderland;Oost-Nederland
Doenrade;Beekdaelen;Limburg;Zuid-Nederland
Doesburg;Doesburg;Gelderland;Oost-Nederland
Doetinchem;Doetinchem;Gelderland;Oost-Nederland
Doeveren;Heusden;Noord-Brabant;Zuid-Nederland
Doezum;Westerkwartier;Groningen;Noord-Nederland
Dokkum;Noardeast-Fryslân;Fryslân;Noord-Nederland
Den Dolder;Zeist;Utrecht;West-Nederland
Doldersum;Westerveld;Drenthe;Noord-Nederland
Domburg;Veere;Zeeland;West-Nederland
Donderen;Tynaarlo;Drenthe;Noord-Nederland
Dongen;Dongen;Noord-Brabant;Zuid-Nederland
Dongjum;Waadhoeke;Fryslân;Noord-Nederland
Doniaga;DeFryskeMarren;Fryslân;Noord-Nederland
Donkerbroek;Ooststellingwerf;Fryslân;Noord-Nederland
Doorn;UtrechtseHeuvelrug;Utrecht;West-Nederland
Doornenburg;Lingewaard;Gelderland;Oost-Nederland
Doornspijk;Elburg;Gelderland;Oost-Nederland
Doorwerth;Renkum;Gelderland;Oost-Nederland
Dordrecht;Dordrecht;Zuid-Holland;West-Nederland
Dorst;Oosterhout;Noord-Brabant;Zuid-Nederland
Drachten;Smallingerland;Fryslân;Noord-Nederland
Drachten-Azeven;Opsterland;Fryslân;Noord-Nederland
Drachtstercompagnie;Smallingerland;Fryslân;Noord-Nederland
Dreischor;Schouwen-Duiveland;Zeeland;West-Nederland
Drempt;Bronckhorst;Gelderland;Oost-Nederland
Dreumel;WestMaasenWaal;Gelderland;Oost-Nederland
Driebergen-Rijsenburg;UtrechtseHeuvelrug;Utrecht;West-Nederland
Drieborg;Oldambt;Groningen;Noord-Nederland
Driebruggen;Bodegraven-Reeuwijk;Zuid-Holland;West-Nederland
Driehuis NH;Velsen;Noord-Holland;West-Nederland
Driehuizen;Alkmaar;Noord-Holland;West-Nederland
Driel;Overbetuwe;Gelderland;Oost-Nederland
Driewegen;Borsele;Zeeland;West-Nederland
Driezum;Dantumadiel;Fryslân;Noord-Nederland
Drijber;Midden-Drenthe;Drenthe;Noord-Nederland
Drimmelen;Drimmelen;Noord-Brabant;Zuid-Nederland
Drogeham;Achtkarspelen;Fryslân;Noord-Nederland
Drogteropslagen;DeWolden;Drenthe;Noord-Nederland
Drongelen;Altena;Noord-Brabant;Zuid-Nederland
Dronryp;Waadhoeke;Fryslân;Noord-Nederland
Dronten;Dronten;Flevoland;Oost-Nederland
Drouwen;Borger-Odoorn;Drenthe;Noord-Nederland
Drouwenermond;Borger-Odoorn;Drenthe;Noord-Nederland
Drouwenerveen;Borger-Odoorn;Drenthe;Noord-Nederland
Drunen;Heusden;Noord-Brabant;Zuid-Nederland
Druten;Druten;Gelderland;Oost-Nederland
Duiven;Duiven;Gelderland;Oost-Nederland
Duivendrecht;Ouder-Amstel;Noord-Holland;West-Nederland
Duizel;Eersel;Noord-Brabant;Zuid-Nederland
Den Dungen;Sint-Michielsgestel;Noord-Brabant;Zuid-Nederland
Dussen;Altena;Noord-Brabant;Zuid-Nederland
Dwingeloo;Westerveld;Drenthe;Noord-Nederland
Eagum;Leeuwarden;Fryslân;Noord-Nederland
Earnewâld;Tytsjerksteradiel;Fryslân;Noord-Nederland
Easterein;Súdwest-Fryslân;Fryslân;Noord-Nederland
Easterlittens;Leeuwarden;Fryslân;Noord-Nederland
Eastermar;Tytsjerksteradiel;Fryslân;Noord-Nederland
Easterwierrum;Súdwest-Fryslân;Fryslân;Noord-Nederland
Echt;Echt-Susteren;Limburg;Zuid-Nederland
Echteld;Neder-Betuwe;Gelderland;Oost-Nederland
Echten;DeWolden;Drenthe;Noord-Nederland
Echten;DeFryskeMarren;Fryslân;Noord-Nederland
Echtenerbrug;DeFryskeMarren;Fryslân;Noord-Nederland
Eck en Wiel;Buren;Gelderland;Oost-Nederland
Eckelrade;Eijsden-Margraten;Limburg;Zuid-Nederland
Edam;Edam-Volendam;Noord-Holland;West-Nederland
Ede;Ede;Gelderland;Oost-Nederland
